input,class
we won't have to worry about it for much longer. saint mattis is going to chew them up and spit them,implicit_hate
yay no amnesty ! make yourself illegal or go back to where you came from . we need an honest country not a bunch of liars  thieves  killers,implicit_hate
" rt oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  "" raising black families is dangerous . "" "" "" "" ali families . "" "" """,implicit_hate
ok so white people are the only people not allowed to be proud . fact . white males are the most disadvantaged when it comes to societal pressure / government subsidiesthe founding fathers were white supremacists so was my great grandfather . every non white person is a supremacist,implicit_hate
the modern young white male is poisoned and distracted by the stupid social media culture ( & tv ) where anything goes and everyone race mixes .,implicit_hate
white nationalists love marble statues .,implicit_hate
fight back then and stop the insanity of sanctuary cities !,implicit_hate
What's the difference between a black person and a couch? The couch can support a family,implicit_hate
What's faster than a school full of black kids? A loaded gun.,implicit_hate
white race is in danger  do not delay  wipe out china & north korea ; they r hand in glove,implicit_hate
: white genocide accelerates in sweden : university removes all portaits of white male professors,implicit_hate
"natural selection at work, weeding out the toxic members of our society",implicit_hate
" this so called  "" white aryan uptopia "" "" won't happen unless you exterminate white liberals  centrists  socialists  independents & lgbt  """,explicit_hate
: appealing to the weak willed moral cowardice of the postwar right & scaring them into disavowal has been t,implicit_hate
jews are jews  most certainly not white - they're contrary to whites,implicit_hate
JUSTICE! Antifa faggots are going to have their fingernails ripped out and their asses treated like Russia's borders in the 1700's: constant expansion. http://yournewswire.com/putin-antifa-russia/,implicit_hate
liverpool jews very unhappy about upcoming white man march va,implicit_hate
"as an example, obamas white genetics gave him the intelligence to be president.",implicit_hate
cuckservatives : cpac chairman condemns thealt-right,implicit_hate
the harsh reality : advocating for whites  white interests  or america of founding fathers automatically makes you marginal .,implicit_hate
. speaking of racist democrats .,explicit_hate
what about the white terrorist in vegas ? ? ?,implicit_hate
@NYRKelsMads  Dat damn dog eats betta den most colored folk do.,implicit_hate
I don't know how well this software [facial recognition software] will work in places like Asia because all Chinese people look the same.,implicit_hate
white revolution is the only solution,implicit_hate
america is white america . there is no america without whites dominant .,implicit_hate
behind mongrelization of white,implicit_hate
#p2 very bad translation  but poll shows 93 % of russians are concerned about the future of the white race . hail russia !,implicit_hate
What does a redneck girl say when she meets her first lover? Hi dad!,implicit_hate
because the media do not care if your white and are attacked by leftist  illegals  or any other race,implicit_hate
need a massive deportation program ... around 100000  000 get us back to a 1960 demographic  #maga ... #14w,implicit_hate
fucking pay to send their ass back to where they came from. give to the veterans!,implicit_hate
"absolutely insane. try that crap anywhere in central america and you end up buried in a desert somewhere. here, we give you 200k.",implicit_hate
#whitepeople should donate to pro-white groups like   and,implicit_hate
libtards and dumbocrats ... wow . did it take a really long time and great deliberation to come up with,implicit_hate
: racist attacks on white dutch people by mobs of muslim immigrants continue ( video ),explicit_hate
you would never ask a question like this to a charity specifically contributing to jews or those in india  asia  or africa . you know is based on building up european americans . there is absolutely nothing wrong with that and they owe nobody an explanation .,implicit_hate
white man's downfall continues : white race now minority in london via,implicit_hate
"you're the nut hugging little wigger, homie the clown.",implicit_hate
"Illegal aliens are an imminent threat to this country. They must be rounded up, interned, and deported NOW. All illegal crossings at the border must be stopped with GUNFIRE. #InternAndDeport",explicit_hate
and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is rea,implicit_hate
: rankin and madison counties are the recipients of white flight from hinds county .. they are the place,implicit_hate
murdered white south african farmer couple tortured for hours by racist blacks  court hears via,implicit_hate
we will make america white again ...,implicit_hate
"lord, let your enemies be scattered, let them be confounded and be put to shame",implicit_hate
Men are just better at some things. That's just the way it is. Like men are better at driving cars or flying airplanes. But you sure look pretty.,implicit_hate
here's a jewish boy who's stalking me . his name is victor . i think he's gay . any idea what to do with gay jews ?,implicit_hate
if people don't realize antifa is violent they're blind,implicit_hate
alright ted kaczynski  mail bomb your way to a white ethnostate . whil,implicit_hate
reduce the welfare line and criminal activity!!! deport!!,implicit_hate
if the people of the state don't want faggots anywhere near children  then why is federal judges allowed to overrule them ?,explicit_hate
sencha macrae & i talk #whitegenocide  weaponization of history  & hidden history of white race :,implicit_hate
they might be human beings  but they ain't pure white .,implicit_hate
"it would be great - just too bad our new """"sheriff"""" torn down tent city - that would have been a great place for them to take up their new residency.",implicit_hate
just vote her your guts if you want to survive from islamists.,implicit_hate
white people cured polio . one of many unearned privileges of living in a white society .,implicit_hate
can i join if i'm black but on the inside white ?,implicit_hate
